# Lines starting with ”#” will be treated as comments.																			
# This file can be reloaded with the ”reload stats” console command																			
#							dmg reduction from							missile weapons only					
#						%of dmg that will	armo is multiplied		100	50				minimum speed					
#					%bonus dmg	go through shields	with this							of missiles					
key	cost	power	min_damage	max_damage	shield_damage	shield_penetration	armor_penetration	min_windup	max_windup	cooldown	range	accuracy	tracking	missile_speed	missile_evasion	missile_health	missile_armor	missile_shield	end
SMALL_SPACEPORT_LASER	0.00	0.00	2	3	0.80	0.00	0.33	2.00	23.00	25.00	30.00	0.90	0.50	0.00	0.00	0.00	0.00	0.00	
MEDIUM_SPACEPORT_LASER	0.00	0.00	4	7	0.80	0.00	0.33	2.00	23.00	25.00	50.00	0.85	0.25	0.00	0.00	0.00	0.00	0.00	
LARGE_SPACEPORT_LASER	0.00	0.00	8	14	0.80	0.00	0.33	2.00	23.00	25.00	70.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
# Energy Lance																			
LARGE_ENERGY_LANCE_1	100.00	-100.00	137	269	0.67	0.00	0.90	22.00	35.00	60.00	100.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	
LARGE_ENERGY_LANCE_2	120.00	-120.00	164	323	0.67	0.00	0.90	22.00	35.00	60.00	100.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	
# Titan Laser																			
TITAN_LASER	300.00	-300.00	3882	5855	0.75	0.00	0.90	30.00	45.00	180.00	150.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	
# Plasma																			
SMALL_PLASMA_1	7.50	-7.50	6	11	0.80	0.00	0.60	2.00	25.00	30.00	40.00	0.85	0.40	0.00	0.00	0.00	0.00	0.00	
MEDIUM_PLASMA_1	15.00	-15.00	14	22	0.80	0.00	0.80	2.00	25.00	30.00	60.00	0.80	0.20	0.00	0.00	0.00	0.00	0.00	
LARGE_PLASMA_1	30.00	-30.00	24	46	0.80	0.00	0.90	2.00	25.00	30.00	80.00	0.75	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_PLASMA_2	10.00	-10.00	8	15	0.80	0.00	0.60	2.00	25.00	30.00	40.00	0.85	0.40	0.00	0.00	0.00	0.00	0.00	
MEDIUM_PLASMA_2	20.00	-20.00	19	29	0.80	0.00	0.80	2.00	25.00	30.00	60.00	0.80	0.20	0.00	0.00	0.00	0.00	0.00	
LARGE_PLASMA_2	40.00	-40.00	32	61	0.80	0.00	0.90	2.00	25.00	30.00	80.00	0.75	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_PLASMA_3	12.50	-12.50	10	19	0.80	0.00	0.60	2.00	25.00	30.00	40.00	0.85	0.40	0.00	0.00	0.00	0.00	0.00	
MEDIUM_PLASMA_3	25.00	-25.00	24	36	0.80	0.00	0.80	2.00	25.00	30.00	60.00	0.80	0.20	0.00	0.00	0.00	0.00	0.00	
LARGE_PLASMA_3	50.00	-50.00	40	76	0.80	0.00	0.90	2.00	25.00	30.00	80.00	0.75	0.05	0.00	0.00	0.00	0.00	0.00	
# Arc Emitter																			
LARGE_ARC_EMITTER_1	100.00	-100.00	1	181	0.00	1.00	1.00	22.00	30.00	60.00	100.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	
LARGE_ARC_EMITTER_2	120.00	-120.00	1	217	0.00	1.00	1.00	22.00	30.00	60.00	110.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	
# Disruptors																			
SMALL_DISRUPTOR_1	7.50	-7.50	3	6	3.00	0.00	0.00	2.00	20.00	25.00	40.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_DISRUPTOR_1	15.00	-15.00	6	15	3.00	0.00	0.00	2.00	20.00	25.00	60.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_DISRUPTOR_1	30.00	-30.00	13	26	3.00	0.00	0.00	2.00	20.00	25.00	80.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_DISRUPTOR_2	10.00	-10.00	4	8	3.00	0.00	0.00	2.00	20.00	25.00	40.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_DISRUPTOR_2	20.00	-20.00	8	20	3.00	0.00	0.00	2.00	20.00	25.00	60.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_DISRUPTOR_2	40.00	-40.00	17	35	3.00	0.00	0.00	2.00	20.00	25.00	80.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_DISRUPTOR_3	12.50	-12.50	5	10	3.00	0.00	0.00	2.00	20.00	25.00	40.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_DISRUPTOR_3	25.00	-25.00	10	25	3.00	0.00	0.00	2.00	20.00	25.00	60.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_DISRUPTOR_3	50.00	-50.00	21	44	3.00	0.00	0.00	2.00	20.00	25.00	80.00	0.80	0.05	0.00	0.00	0.00	0.00	0.00	
# Mass Drivers																			
SMALL_MASS_DRIVER_1	2.50	-2.50	2	5	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MASS_DRIVER_1	5.00	-5.00	3	11	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_DRIVER_1	10.00	-10.00	8	22	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_MASS_DRIVER_2	5.00	-5.00	4	10	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MASS_DRIVER_2	10.00	-10.00	6	22	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_DRIVER_2	20.00	-20.00	16	44	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_MASS_DRIVER_3	7.50	-7.50	6	15	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MASS_DRIVER_3	15.00	-15.00	9	33	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_DRIVER_3	30.00	-30.00	24	66	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_MASS_DRIVER_4	10.00	-10.00	8	20	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MASS_DRIVER_4	20.00	-20.00	12	44	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_DRIVER_4	40.00	-40.00	32	88	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_MASS_DRIVER_5	12.50	-12.50	10	25	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MASS_DRIVER_5	25.00	-25.00	15	55	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_DRIVER_5	50.00	-50.00	40	110	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
# Spaceport Laser																			
SMALL_SPACEPORT_MASS_DRIVER	0.00	0.00	4	17	1.33	0.00	0.00	2.00	18.00	25.00	45.00	0.81	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_SPACEPORT_MASS_DRIVER	0.00	0.00	8	36	1.33	0.00	0.15	2.00	18.00	25.00	65.00	0.77	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_SPACEPORT_MASS_DRIVER	0.00	0.00	21	74	1.33	0.00	0.30	2.00	18.00	25.00	85.00	0.72	0.05	0.00	0.00	0.00	0.00	0.00	
# Kinetic Artillery																			
LARGE_KINETIC_ARTILLERY_1	50.00	-50.00	94	192	1.33	0.00	0.20	2.00	18.00	70.00	100.00	0.70	0.05	0.00	0.00	0.00	0.00	0.00	
LARGE_KINETIC_ARTILLERY_2	60.00	-60.00	113	230	1.33	0.00	0.20	2.00	18.00	70.00	100.00	0.70	0.05	0.00	0.00	0.00	0.00	0.00	
# Autocannons																			
SMALL_AUTOCANNON_1	5.00	-5.00	3	11	1.00	0.00	0.00	2.00	15.00	15.00	20.00	0.82	0.65	0.00	0.00	0.00	0.00	0.00	
MEDIUM_AUTOCANNON_1	10.00	-10.00	4	23	1.00	0.00	0.10	2.00	15.00	15.00	40.00	0.80	0.35	0.00	0.00	0.00	0.00	0.00	
LARGE_AUTOCANNON_1	20.00	-20.00	13	47	1.00	0.00	0.20	2.00	15.00	15.00	60.00	0.75	0.10	0.00	0.00	0.00	0.00	0.00	
SMALL_AUTOCANNON_2	7.50	-7.50	5	17	1.00	0.00	0.00	2.00	15.00	15.00	20.00	0.83	0.65	0.00	0.00	0.00	0.00	0.00	
MEDIUM_AUTOCANNON_2	15.00	-15.00	6	35	1.00	0.00	0.10	2.00	15.00	15.00	40.00	0.81	0.35	0.00	0.00	0.00	0.00	0.00	
LARGE_AUTOCANNON_2	30.00	-30.00	20	71	1.00	0.00	0.20	2.00	15.00	15.00	60.00	0.76	0.10	0.00	0.00	0.00	0.00	0.00	
SMALL_AUTOCANNON_3	10.00	-10.00	7	23	1.00	0.00	0.00	2.00	15.00	15.00	20.00	0.84	0.65	0.00	0.00	0.00	0.00	0.00	
MEDIUM_AUTOCANNON_3	20.00	-20.00	8	47	1.00	0.00	0.10	2.00	15.00	15.00	40.00	0.82	0.35	0.00	0.00	0.00	0.00	0.00	
LARGE_AUTOCANNON_3	40.00	-40.00	27	95	1.00	0.00	0.20	2.00	15.00	15.00	60.00	0.77	0.10	0.00	0.00	0.00	0.00	0.00	
# Flak Battery																			
FLAK_BATTERY_1	15.00	-15.00	7	18	1.00	0.00	0.00	2.00	18.00	18.00	40.00	0.75	0.50	0.00	0.00	0.00	0.00	0.00	
FLAK_BATTERY_2	20.00	-20.00	9	24	1.00	0.00	0.00	2.00	18.00	18.00	40.00	0.75	0.50	0.00	0.00	0.00	0.00	0.00	
# Mass Accelerator																			
LARGE_MASS_ACCELERATOR_1	100.00	-100.00	82	264	1.33	0.00	0.50	2.00	25.00	65.00	120.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	
LARGE_MASS_ACCELERATOR_2	120.00	-120.00	98	317	1.33	0.00	0.50	2.00	25.00	65.00	120.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	
# Missiles																			
SMALL_MISSILE_1	2.50	-2.50	3	4	1.150	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.00	1.00	0.00	0.00	
MEDIUM_MISSILE_1	5.00	-5.00	5	8	1.150	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.00	2.00	0.00	0.00	
LARGE_MISSILE_1	10.00	-10.00	10	17	1.150	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.00	4.00	0.00	0.00	
SMALL_MISSILE_2	5.00	-5.00	6	8	1.150	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.10	1.00	0.00	0.00	
MEDIUM_MISSILE_2	10.00	-10.00	10	16	1.150	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.10	2.00	0.00	0.00	
LARGE_MISSILE_2	20.00	-20.00	20	34	1.150	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.10	4.00	0.00	0.00	
SMALL_MISSILE_3	7.50	-7.50	9	12	1.150	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.20	1.00	0.00	0.00	
MEDIUM_MISSILE_3	15.00	-15.00	15	24	1.150	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.20	2.00	0.00	0.00	
LARGE_MISSILE_3	30.00	-30.00	30	51	1.150	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.20	4.00	0.00	0.00	
SMALL_MISSILE_4	10.00	-10.00	12	16	1.150	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.30	2.00	0.00	0.00	
MEDIUM_MISSILE_4	20.00	-20.00	20	32	1.150	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.30	4.00	0.00	0.00	
LARGE_MISSILE_4	40.00	-40.00	40	68	1.150	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.30	8.00	0.00	0.00	
SMALL_MISSILE_5	12.50	-12.50	15	20	1.150	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.40	2.00	0.00	0.00	
MEDIUM_MISSILE_5	25.00	-25.00	25	40	1.150	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.40	4.00	0.00	0.00	
LARGE_MISSILE_5	50.00	-50.00	50	85	1.150	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.40	8.00	0.00	0.00	
# Spaceport Missiles																			
SMALL_SPACEPORT_MISSILE	0.00	0.00	8	13	1.100	0.00	0.00	2.00	25.00	30.00	70.00	1.00	0.70	6.00	0.10	2.00	0.00	0.00	
MEDIUM_SPACEPORT_MISSILE	0.00	0.00	13	29	1.100	0.00	0.15	2.00	25.00	30.00	90.00	1.00	0.70	6.00	0.10	4.00	0.00	0.00	
LARGE_SPACEPORT_MISSILE	0.00	0.00	34	50	1.100	0.00	0.30	2.00	25.00	30.00	110.00	1.00	0.70	6.00	0.10	8.00	0.00	0.00	
# Torpedoes																			
TORPEDO_1	10.00	-10.00	86	169	1.00	1.00	0.50	2.00	15.00	200.00	60.00	1.00	0.00	5.00	0.00	2.00	0.00	0.00	
TORPEDO_2	15.00	-15.00	129	254	1.00	1.00	0.50	2.00	15.00	200.00	60.00	1.00	0.00	5.00	0.00	4.00	0.00	0.00	
TORPEDO_3	20.00	-20.00	172	339	1.00	1.00	0.50	2.00	15.00	200.00	60.00	1.00	0.00	5.00	0.00	6.00	0.00	0.00	
# Energy Torpedo																			
ENERGY_TORPEDO_1	40.00	-40.00	93	188	3.00	0.00	0.00	2.00	23.00	200.00	70.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	
ENERGY_TORPEDO_2	60.00	-60.00	140	282	3.00	0.00	0.00	2.00	23.00	200.00	70.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	
# Swarmer Missiles																			
SWARMER_MISSILE_1	20.00	-20.00	8	11	1.00	0.00	0.00	2.00	8.00	16.00	60.00	1.00	0.70	6.50	2.00	1.00	0.00	0.00	
SWARMER_MISSILE_2	25.00	-25.00	10	14	1.00	0.00	0.00	2.00	8.00	16.00	60.00	1.00	0.70	6.50	2.00	1.00	0.00	0.00	
# Space Cloud																			
SPACE_CLOUD_LIGHTNING	10.00	-10.00	1	27	0.75	0.00	0.50	2.00	25.00	30.00	50.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	
# Crystalline Entities																			
SMALL_CRYSTAL_SHIP_BLUE_LIGHTNING	2.50	-2.50	4	17	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_BLUE_LIGHTNING	5.00	-5.00	8	36	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_BLUE_LIGHTNING	10.00	-10.00	21	74	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_GREEN_LIGHTNING	2.50	-2.50	4	17	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_GREEN_LIGHTNING	5.00	-5.00	8	36	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_GREEN_LIGHTNING	10.00	-10.00	21	74	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_YELLOW_LIGHTNING	2.50	-2.50	4	17	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_YELLOW_LIGHTNING	5.00	-5.00	8	36	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_YELLOW_LIGHTNING	10.00	-10.00	21	74	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_RED_LIGHTNING	2.50	-2.50	4	17	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_RED_LIGHTNING	5.00	-5.00	8	36	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_RED_LIGHTNING	10.00	-10.00	21	74	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING	7.50	-7.50	6	15	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING	15.00	-15.00	9	33	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_BLUE_ELITE_LIGHTNING	30.00	-30.00	24	66	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING	7.50	-7.50	6	15	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING	15.00	-15.00	9	33	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_GREEN_ELITE_LIGHTNING	30.00	-30.00	24	66	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING	7.50	-7.50	6	15	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING	15.00	-15.00	9	33	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_YELLOW_ELITE_LIGHTNING	30.00	-30.00	24	66	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
SMALL_CRYSTAL_SHIP_RED_ELITE_LIGHTNING	7.50	-7.50	6	15	1.00	0.00	0.15	2.00	18.00	25.00	45.00	0.76	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_CRYSTAL_SHIP_RED_ELITE_LIGHTNING	15.00	-15.00	9	33	1.00	0.00	0.30	2.00	18.00	25.00	65.00	0.72	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_CRYSTAL_SHIP_RED_ELITE_LIGHTNING	30.00	-30.00	24	66	1.00	0.00	0.60	2.00	18.00	25.00	85.00	0.67	0.05	0.00	0.00	0.00	0.00	0.00	
# Misc Space Critters																			
MEDIUM_PROBE_LIGHTNING	15.00	-15.00	19	29	1.00	0.00	1.00	2.00	25.00	30.00	60.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
SPACE_WHALE_WEAPON	5.00	-5.00	3	11	2.00	0.00	0.00	2.00	20.00	25.00	40.00	0.82	0.60	0.00	0.00	0.00	0.00	0.00	
SMALL_SPACE_AMOEBA_WEAPON	7.50	-7.50	9	15	1.00	0.00	0.25	2.00	25.00	30.00	60.00	0.75	0.60	0.00	0.00	0.00	0.00	0.00	
SPACE_AMOEBA_WEAPON	15.00	-15.00	17	30	1.00	0.00	0.25	2.00	25.00	30.00	60.00	0.75	0.30	0.00	0.00	0.00	0.00	0.00	
SMALL_MINING_LASER	7.50	-7.50	2	3	1.00	0.00	1.00	2.00	25.00	30.00	40.00	0.75	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_MINING_LASER	15.00	-15.00	4	7	1.00	0.00	1.00	2.00	25.00	30.00	30.00	0.70	0.30	0.00	0.00	0.00	0.00	0.00	
PSIONIC_BLAST_1	0.00	0.00	286	690	0.66	0.00	0.67	2.00	25.00	30.00	85.00	0.90	1.00	0.00	0.00	0.00	0.00	0.00	
# ED invaders																			
SMALL_ED_WEAPON	15.00	-15.00	12	20	1.00	0.50	0.50	2.00	25.00	25.00	40.00	0.78	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_ED_WEAPON	30.00	-30.00	26	46	1.00	0.50	0.50	2.00	25.00	25.00	60.00	0.75	0.30	0.00	0.00	0.00	0.00	0.00	
LARGE_ED_WEAPON	60.00	-60.00	52	99	1.00	0.50	0.50	2.00	25.00	25.00	80.00	0.74	0.05	0.00	0.00	0.00	0.00	0.00	
# Swarm																			
SMALL_SPACEPORT_SCOURGE_MISSILE	0.00	0.00	15	28	1.100	0.00	0.00	2.00	25.00	40.00	50.00	1.00	0.80	5.00	0.45	2.0	0.00	0.00	
MEDIUM_SPACEPORT_SCOURGE_MISSILE	0.00	0.00	25	50	1.100	0.00	0.10	2.00	25.00	40.00	70.00	1.00	0.80	5.00	0.45	4.0	0.00	0.00	
LARGE_SPACEPORT_SCOURGE_MISSILE	0.00	0.00	52	92	1.100	0.00	0.20	2.00	25.00	40.00	90.00	1.00	0.80	5.00	0.45	8.0	0.00	0.00	
LARGE_SCOURGE_MISSILE_1	50.00	-50.00	52	92	1.100	0.00	0.20	2.00	25.00	40.00	90.00	1.00	0.80	5.00	0.45	8.0	0.00	0.00	
SMALL_SCOURGE_PROJECTILE_WEAPON	12.50	-12.50	11	26	1.33	0.00	0.00	2.00	25.00	30.00	60.00	0.75	0.70	0.00	0.00	0.00	0.00	0.00	
MEDIUM_SCOURGE_PROJECTILE_WEAPON	25.00	-25.00	18	48	1.33	0.00	0.00	2.00	25.00	30.00	60.00	0.75	0.25	0.00	0.00	0.00	0.00	0.00	
# Fallen Empire																			
LARGE_FALLEN_EMPIRE_SPACEPORT_LANCE	0.00	0.00	87	244	0.80	0.00	0.90	2.00	25.00	100.00	140.00	0.90	0.00	0.00	0.00	0.00	0.00	0.00	
# Point-Defense																			
POINT_DEFENCE_1	5.00	-5.00	2	2	0.00	0.00	0.00	1.00	1.00	19.00	10.00	0.80	0.10	0.00	0.00	0.00	0.00	0.00	
POINT_DEFENCE_2	7.50	-7.50	3	3	0.00	0.00	0.00	1.00	1.00	19.00	10.00	0.80	0.25	0.00	0.00	0.00	0.00	0.00	
POINT_DEFENCE_3	10.00	-10.00	4	4	0.00	0.00	0.00	1.00	1.00	19.00	10.00	0.80	0.35	0.00	0.00	0.00	0.00	0.00	
# Event Weapons																			
TECHNO_WEAPON	0.00	0.00	485	976	1.50	0.00	0.75	10.00	20.00	100.00	120.00	0.85	0.00	0.00	0.00	0.00	0.00	0.00	
TECHNO_PD	10.00	-10.00	12	13	0.00	0.00	0.00	1.00	1.00	5.00	10.00	0.80	0.50	0.00	0.00	0.00	0.00	0.00	
SMALL_EVENT_UV_LASER	7.50	-7.50	8	9	0.80	0.00	0.15	2.00	23.00	25.00	30.00	0.90	0.60	0.00	0.00	0.00	0.00	0.00	
MEDIUM_EVENT_UV_LASER	15.00	-15.00	12	21	0.80	0.00	0.30	2.00	23.00	25.00	30.00	0.85	0.30	0.00	0.00	0.00	0.00	0.00	
STELLARITE_MISSILE	50.00	-50.00	500	768	1.00	1.00	0.00	20.00	30.00	30.00	150.00	1.00	0.50	10.00	1.00	100.00	0.00	0.00	
